temp0,temp1,temp2,temp3,temp4,temp5,temp6,temp7
-5.866475540118495,-6.906276731377286,-5.68261359988352,-4.3261447852139625,-6.077677435725097,-5.825231257721533,-4.828156497209066,-4.979816685505441
-5.856475834762632,-6.9395954614273325,-5.685206798146345,-4.250386458520363,-6.098677899441177,-5.819399922466762,-4.833601209001783,-5.004657038833251
-5.901266135862363,-6.972130221358554,-5.6865296314008775,-4.20535240490185,-6.071201309817773,-5.81370579510034,-4.846998144133395,-5.028912913259231
-5.894770601603476,-7.003908358965794,-5.67280097102268,-4.197454725612357,-6.0443637106507255,-5.808144089300578,-4.859486392900037,-5.05260469758228
-5.876806119146779,-7.034955964674016,-5.676964885902408,-4.19674328245907,-6.0181430677863705,-5.802710238806558,-4.865819919911365,-5.075751843185259
-5.859249920382282,-7.056794976698802,-5.661161885205129,-4.196384852394538,-5.992518348623476,-5.797399884914676,-4.912313010291234,-5.0983729172972625
-5.842088242938334,-6.991309776853951,-5.638366924677886,-4.198579217726719,-5.947531701930066,-5.868638543416543,-4.919529387869462,-5.120485652665175
-5.8253079361042515,-6.927279803672319,-5.597903777361702,-4.1958151405644255,-5.935778763473561,-5.9426815750987645,-4.933669818994696,-5.1421069939138
-5.8088964272225665,-6.864657082648525,-5.559659108024341,-4.194297710749452,-5.93149527478168,-5.961100441601234,-4.951522917061106,-5.16387555953205
-5.792841690273092,-6.803395725125249,-5.5254091604093265,-4.185306980460158,-5.9425588394060815,-5.979118897962344,-4.945980151819208,-5.1885795636735175
-5.777132216483821,-6.743451816150859,-5.500791992160765,-4.172181243744249,-5.934592076723408,-5.99674986063827,-4.949851927205432,-5.228136895454504
-5.761756986817726,-6.684783309495074,-5.472180993330429,-4.151686538841608,-5.921250162691859,-6.014005696448751,-4.996894182923943,-5.266852581878449
-5.746705446197234,-6.627349929295201,-5.43314916387457,-4.133861175068743,-5.914999351183169,-6.030898251505326,-5.04294607536417,-5.304753201219783
-5.767699440146722,-6.5711130778494935,-5.419308537246425,-4.117948012397883,-5.9166713368637645,-6.047438878331561,-4.96496879351272,-5.34186422432484
-5.798212396607104,-6.516035749114005,-5.456944729060426,-4.100893565967847,-5.922534571112252,-6.058338056397916,-4.899382568831189,-5.378210071695771
-5.837782494019214,-6.462082447495567,-5.447474153141056,-4.0844060548448935,-5.918329607792273,-6.0690148022588355,-4.835134838530914,-5.413814167079541
-5.866628215388247,-6.40921911156639,-5.457473668097617,-4.074938739877826,-5.912859799300636,-6.043413375280049,-4.876029891533905,-5.448698987809093
-5.892178483029535,-6.357413042355797,-5.480306246398619,-4.066644561741781,-5.917433178540763,-5.943075314009461,-4.916107043476837,-5.482886112124054
-5.896642892770244,-6.3066328359018495,-5.487729001509107,-4.062170729635714,-5.947760992186973,-5.844724145041262,-4.955390588450601,-5.516396263680303
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-5.806001519910765,-6.291943647962386,-5.479082374682124,-4.075385480493959,-5.7547871330808436,-5.905613819056149,-5.031352157981758,-5.581781677702567
-5.761988160974192,-6.297107418344027,-5.468838660545288,-4.09603205978346,-5.66108348034181,-5.933805792494981,-5.068237343186791,-5.613531325857613
-5.718813151731648,-6.295856662433201,-5.478394989080176,-4.1126491268998775,-5.479173433914081,-5.9631080399421235,-5.104419953435538,-5.644676218809702
-5.676452765305001,-6.307366453774911,-5.472659956391002,-4.154921105057712,-5.5354510984899274,-5.972231213074463,-5.1399198729248745,-5.6752334722721285
-5.711705039263308,-6.290943600628683,-5.491715228670267,-4.1955454808875405,-5.558297977250573,-6.012731034725579,-5.174756242517214,-5.705219562118436
-5.712749086948371,-6.280657495547493,-5.521292415048065,-4.216827378468004,-5.584273658780325,-5.986067705713963,-5.208947494154139,-5.764779700941178
-5.725166638692161,-6.256267973622093,-5.550326900758381,-4.237114495354593,-5.604092095431174,-6.004000871738274,-5.242511383375709,-5.8060578677846735
-5.737358416767883,-6.242673295605296,-5.5788334867285085,-4.2629863894211155,-5.627999956918534,-6.025147709562328,-5.275465020065977,-5.831060760872919
-5.749330523166564,-6.2276604345923365,-5.606826440518995,-4.273089097354044,-5.657218171231883,-6.012717510955337,-5.307824897536601,-5.807293944328496
-5.761088841950981,-6.219819012266855,-5.634319520134652,-4.336980095032749,-5.604324131834629,-6.000509280180614,-5.322957589035657,-5.783951535222369
-5.772639048898508,-6.208524019119413,-5.661325996571271,-4.399405487707905,-5.5945634246456715,-5.827046929132372,-5.289483019232385,-5.761022266100418
-5.8123758503927,-6.213263276263138,-5.687858675175667,-4.460735698055426,-5.627104187284179,-5.656627777225328,-5.351299594271335,-5.7384952648578
-5.851421577078297,-6.207315082531257,-5.692618545015614,-4.520999296049077,-5.634747427609464,-5.489172436655798,-5.432169026464151,-5.716360037549836
-5.8897941015796595,-6.202685477553365,-5.685058995757895,-4.580223866491113,-5.657920781459615,-5.32460425713057,-5.511644158101917,-5.694606452092009
-5.927510685491256,-6.190300742138796,-5.657611253215371,-4.638436051113628,-5.649347872750086,-5.162849208879277,-5.589760740480918,-5.673224722795855
-5.964588005268756,-6.174068437105098,-5.633553947239344,-4.695661588539149,-5.632544108425698,-5.003835771615295,-5.666553312989088,-5.652205395691161
-6.001042176814702,-6.15663291295017,-5.644210420914073,-4.703386949504711,-5.627423721114315,-4.847494829095244,-5.742055254026534,-5.6315393345882265
-6.036888778834884,-6.132353118204391,-5.656839411045855,-4.71170470515325,-5.620642898830573,-4.693759568950528,-5.8162988293800195,-5.61121770783701
-6.072730675262374,-6.10313367679046,-5.680078289444812,-4.761369661420394,-5.638262961256229,-4.54256538748589,-5.889315238198739,-5.617311092686704
-6.110785962244834,-6.0710022134748565,-5.714435317427411,-4.793123161469911,-5.652170215963637,-4.393849799160017,-5.961134656708955,-5.638710184785136
-6.1482224640731085,-6.049299457186005,-5.71758242775073,-4.82817176599739,-5.6195560633041755,-4.247552350481718,-6.03178627979624,-5.687401928327507
-6.185055151355765,-6.016312946237377,-5.717030904736581,-4.843510804530156,-5.661477439147249,-4.103614538072425,-6.101298360575666,-5.701584369168601
-6.220226674445438,-5.984436248959883,-5.729628932841122,-4.858604418446397,-5.678784849856407,-3.96197973066168,-6.1696982480626215,-5.715539890956237
-6.26287858522738,-5.9541934344432494,-5.744739765064149,-4.873458451189365,-5.68077460868465,-3.8225930947971376,-6.237012423049784,-5.729273896525022
-6.3048588123749605,-5.929916993955919,-5.747499710016846,-4.930099915895709,-5.6982625203765815,-3.8657811372502304,-6.303266532289117,-5.742791618541544
-6.346183098473361,-5.905533733467314,-5.7595167841984445,-4.985856357716016,-5.702537242296395,-3.902825973431905,-6.368485421071583,-5.7560981261515565
-6.386866697965584,-5.882587130499568,-5.77175654620337,-5.040748358577869,-5.704282009641286,-3.938751160906917,-6.432693164291532,-5.7691983313180035
-6.442693513847652,-5.863325274347256,-5.815758361950412,-5.094795867118771,-5.709814774019933,-3.951214876261043,-6.495913096077328,-5.782096994866505
-6.4888758151297194,-5.840214019419678,-5.856787157392255,-5.139594041931628,-5.604315763323369,-3.976267633066982,-6.558167838064868,-5.794798732253961
-6.537178334266442,-5.827948701059239,-5.897194304418313,-5.20735861290152,-5.604707944804888,-4.011695151354744,-6.61947932638593,-5.807308019074939
-6.578596464837217,-5.820981076688669,-5.936993825173301,-5.2741041677666,-5.63003796953759,-4.034613730151913,-6.679868837439006,-5.871983864926531
-6.606980535895775,-5.825477562634954,-5.976199323230454,-5.339853520320262,-5.385291768142224,-4.008987657988767,-6.739357012506216,-5.928262558681778
-6.6116133961634205,-5.830170726875027,-6.014823999094168,-5.375994820249163,-5.150385211735501,-3.983741231339148,-6.797963881276133,-6.015731949521838
-6.583228377759391,-5.8236765628489024,-6.052880665018709,-5.410882597103192,-4.9189331635112294,-3.9588660756696705,-6.855708884328842,-6.10191502579072
-6.607388761495774,-5.805644728934489,-6.090381759177928,-5.429690434164774,-4.690859977304831,-3.934354060958872,-6.91261089463626,-6.186839954960785
-6.627549678171929,-5.7780469541791515,-6.110197134347175,-5.448225693877639,-4.466092199594177,-3.9101972928380846,-6.968688238127628,-6.270534088055922
-6.647420509716054,-5.749176667813338,-6.129771748090637,-5.4664942592061445,-4.244558490627561,-3.886388104114719,-7.023958713367322,-6.353023989020194
-6.667007472238119,-5.720718814109894,-6.149066724494908,-5.485481929006082,-4.026189548931897,-3.862919046658829,-7.078439610389306,-6.434335462827833
-6.686316605504552,-5.69266461790579,-6.168088013290608,-5.539914499504773,-3.8109180390333353,-3.839782883634938,-7.132147728730127,-6.514493582397066
